"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","harvard","96842"," ","2","126337","","","","","","",""
"iat","","2025","j","4","148933","unpredictable","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","753","j","6","149945","dangerous","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1559","j","8","151760","fragile","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1631","j","10","153659","challenging","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","2374","j","12","156301","unstable","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","976","f","14","157545","capable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","734","j","16","158534","useless","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1380","j","18","160173","difficult","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","742","f","20","161173","weird","stigmatizing","stigmatizing","humanizing","stigmatizing","false",""
"iat","","1286","f","22","162728","realistic","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","625","j","24","163610","dangerous","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","972","j","26","164839","psychotic","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","3546","f","28","168648","normal","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","3416","f","30","172325","reasonable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","771","j","32","173362","psychotic","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1987","j","34","175617","sane","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","3204","j","36","179075","rational","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","1099","f","38","180432","capable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","5430","f","40","186126","challenging","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","779","j","42","187170","useless","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","569","j","44","187994","weak","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1459","f","46","189709","feeling","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","794","j","48","190761","normal","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","765","j","50","191792","unstable","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1040","f","52","193101","feeling","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","1119","j","54","194486","fragile","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1087","j","56","195840","sane","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","868","j","58","196969","insane","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","4014","f","60","201238","realistic","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","895","j","62","202388","insane","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1166","f","64","203817","human","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","755","j","66","204831","weird","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","631","j","68","205727","crazy","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","391","j","70","206385","crazy","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","2808","f","72","209454","reasonable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","1556","f","74","211273","human","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","1651","f","77","221647","personality disorder","disorders","disorders","disorders","treatment","true",""
"iat","","896","f","79","222808","post traumatic stress disorder","disorders","disorders","disorders","treatment","true",""
"iat","","764","f","81","223836","eating disorder","disorders","disorders","disorders","treatment","true",""
"iat","","776","j","83","224873","counseling","treatment","treatment","disorders","treatment","true",""
"iat","","1098","j","85","226234","resident deans","treatment","treatment","disorders","treatment","true",""
"iat","","782","j","87","227268","tutors","treatment","treatment","disorders","treatment","true",""
"iat","","1998","j","89","229535","peer counseling","treatment","treatment","disorders","treatment","true",""
"iat","","1353","f","91","231152","anxiety","disorders","disorders","disorders","treatment","true",""
"iat","","503","f","93","231911","schizophrenia","disorders","disorders","disorders","treatment","true",""
"iat","","527","f","95","232706","anxiety","disorders","disorders","disorders","treatment","true",""
"iat","","763","f","97","233735","obsessive compulsive disorder","disorders","disorders","disorders","treatment","true",""
"iat","","773","j","99","234770","peer counseling","treatment","treatment","disorders","treatment","true",""
"iat","","1051","j","101","236087","resident deans","treatment","treatment","disorders","treatment","true",""
"iat","","702","j","103","237055","SHARE counselors","treatment","treatment","disorders","treatment","true",""
"iat","","6323","f","105","243631","","","disorders","disorders","treatment","true",""
"iat","","1755","f","107","245642","bipolar disorder","disorders","disorders","disorders","treatment","true",""
"iat","","963","j","109","246864","CAMHS","treatment","treatment","disorders","treatment","true",""
"iat","","1526","f","111","248658","personality disorder","disorders","disorders","disorders","treatment","true",""
"iat","","1329","f","113","250242","depression","disorders","disorders","disorders","treatment","true",""
"iat","","627","j","115","251135","counseling","treatment","treatment","disorders","treatment","true",""
"iat","","909","j","117","252305","psychiatry","treatment","treatment","disorders","treatment","true",""
"iat","","690","j","119","253251","SHARE counselors","treatment","treatment","disorders","treatment","true",""
"iat","","1496","f","121","255009","body dysmorphia","disorders","disorders","disorders","treatment","true",""
"iat","","559","f","123","255824","depression","disorders","disorders","disorders","treatment","true",""
"iat","","731","j","125","256821","support group","treatment","treatment","disorders","treatment","true",""
"iat","","703","j","127","257791","tutors","treatment","treatment","disorders","treatment","true",""
"iat","","1095","f","129","259140","body dysmorphia","disorders","disorders","disorders","treatment","true",""
