"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","harvard","80244"," ","2","88350","","","","","","",""
"iat","","1774","j","4","97835","peer counseling","treatment","treatment","disorders","treatment","true",""
"iat","","1055","f","6","99150","substance abuse disorder","disorders","disorders","disorders","treatment","true",""
"iat","","657","j","8","100065","psychiatry","treatment","treatment","disorders","treatment","true",""
"iat","","733","j","10","101054","peer counseling","treatment","treatment","disorders","treatment","true",""
"iat","","666","j","12","101975","medication","treatment","treatment","disorders","treatment","true",""
"iat","","614","f","14","102848","bipolar disorder","disorders","disorders","disorders","treatment","true",""
"iat","","696","f","16","103801","body dysmorphia","disorders","disorders","disorders","treatment","true",""
"iat","","614","f","18","104674","obsessive compulsive disorder","disorders","disorders","disorders","treatment","true",""
"iat","","578","j","20","105512","counseling","treatment","treatment","disorders","treatment","true",""
"iat","","761","f","22","106528","depression","disorders","disorders","disorders","treatment","true",""
"iat","","682","f","24","107469","anxiety","disorders","disorders","disorders","treatment","true",""
"iat","","802","j","26","108528","SHARE counselors","treatment","treatment","disorders","treatment","true",""
"iat","","909","j","28","109694","tutors","treatment","treatment","disorders","treatment","true",""
"iat","","1007","f","30","110956","obsessive compulsive disorder","disorders","disorders","disorders","treatment","true",""
"iat","","777","j","32","111993","support group","treatment","treatment","disorders","treatment","true",""
"iat","","688","j","34","112937","support group","treatment","treatment","disorders","treatment","true",""
"iat","","709","f","36","113903","post traumatic stress disorder","disorders","disorders","disorders","treatment","true",""
"iat","","816","j","38","114973","CAMHS","treatment","treatment","disorders","treatment","true",""
"iat","","731","j","40","115962","tutors","treatment","treatment","disorders","treatment","true",""
"iat","","737","f","42","116956","depression","disorders","disorders","disorders","treatment","true",""
"iat","","673","f","44","117888","eating disorder","disorders","disorders","disorders","treatment","true",""
"iat","","646","f","46","118790","substance abuse disorder","disorders","disorders","disorders","treatment","true",""
"iat","","719","j","48","119764","psychiatry","treatment","treatment","disorders","treatment","true",""
"iat","","752","j","50","120776","therapy","treatment","treatment","disorders","treatment","true",""
"iat","","744","f","52","121778","schizophrenia","disorders","disorders","disorders","treatment","true",""
"iat","","638","f","54","122675","anxiety","disorders","disorders","disorders","treatment","true",""
"iat","","626","f","56","123561","personality disorder","disorders","disorders","disorders","treatment","true",""
"iat","","478","f","58","124294","body dysmorphia","disorders","disorders","disorders","treatment","true",""
"iat","","628","j","60","125180","resident deans","treatment","treatment","disorders","treatment","true",""
"iat","","519","j","62","125956","resident deans","treatment","treatment","disorders","treatment","true",""
"iat","","1371","f","64","127583","personality disorder","disorders","disorders","disorders","treatment","true",""
"iat","","733","j","66","128572","SHARE counselors","treatment","treatment","disorders","treatment","true",""
"iat","","671","f","68","129501","post traumatic stress disorder","disorders","disorders","disorders","treatment","true",""
"iat","","621","j","70","130377","medication","treatment","treatment","disorders","treatment","true",""
"iat","","612","f","72","131248","bipolar disorder","disorders","disorders","disorders","treatment","true",""
"iat","","737","j","74","132242","therapy","treatment","treatment","disorders","treatment","true",""
"iat","","2438","f","77","138298","psychotic","stigmatizing","stigmatizing","stigmatizing","humanizing","true",""
"iat","","1632","f","79","140187","fragile","stigmatizing","stigmatizing","stigmatizing","humanizing","true",""
"iat","","559","j","81","141005","human","humanizing","humanizing","stigmatizing","humanizing","true",""
"iat","","860","j","83","142123","feeling","humanizing","humanizing","stigmatizing","humanizing","true",""
"iat","","654","f","85","143033","crazy","stigmatizing","stigmatizing","stigmatizing","humanizing","true",""
"iat","","704","j","87","143992","capable","humanizing","humanizing","stigmatizing","humanizing","true",""
